docx: C:\tangyapeng\docs\StarGather\sad_sdd_proj\c1_sdd_linux-ipcs\final_sdd.docx
ACTIVITY flow diagrams scaled: 138
inline images skipped (non-ACTIVITY / no SVG): 45

estimated body pt: min=1.92 max=7.30 avg=6.79

index	viewBox_W	target_cm	after_cm_w	after_cm_h	est_pt	height_limited
1	746	17.455	16.501	14.732	6.9	True
2	426	9.137	9.137	16.815	7.3	False
3	1012	23.678	16.501	11.838	5.08	True
4	877	18.81	16.501	21.111	6.4	True
5	877	20.52	16.387	24.701	5.83	True
6	526	12.307	12.307	14.249	7.3	False
7	551	11.818	11.818	18.853	7.3	False
8	544	11.668	11.668	12.44	7.3	False
9	560	12.011	12.011	12.44	7.3	False
10	632	13.555	13.555	13.727	7.3	False
11	629	13.491	13.491	13.727	7.3	False
12	729	15.635	15.635	15.507	7.3	False
13	676	14.499	14.499	8.408	7.3	False
14	597	12.804	12.804	3.775	7.3	False
15	650	13.941	13.941	7.807	7.3	False
16	776	16.643	16.501	7.74	7.23	True
17	793	17.008	16.501	7.574	7.08	True
18	541	11.603	11.603	8.408	7.3	False
19	699	14.992	14.992	15.335	7.3	False
20	1140	24.45	16.501	13.881	4.92	True
21	615	14.389	14.389	10.997	7.3	False
22	527	11.303	11.303	23.871	7.3	False
23	741	15.893	14.026	24.701	6.44	True
24	705	16.495	15.962	24.701	7.06	True
25	879	18.853	16.501	21.476	6.39	True
26	500	10.724	10.724	12.268	7.3	False
27	1688	39.495	16.501	6.032	3.05	True
28	1095	23.485	16.501	8.575	5.13	True
29	763	16.365	16.365	13.598	7.3	False
30	693	14.863	14.863	22.027	7.3	False
31	462	9.909	9.909	16.515	7.3	False
32	238	5.105	5.105	10.381	7.3	False
33	784	18.344	16.501	17.806	6.56	True
34	358	7.678	7.678	13.34	7.3	False
35	809	18.929	12.712	24.701	4.9	True
36	555	12.986	12.986	14.039	7.3	False
37	604	14.132	14.132	11.652	7.3	False
38	258	5.534	5.534	3.775	7.3	False
39	271	5.812	5.812	3.775	7.3	False
40	503	11.769	11.769	10.997	7.3	False
41	951	20.397	16.501	14.28	5.9	True
42	246	5.276	5.276	12.161	7.3	False
43	597	13.968	12.127	24.701	6.33	True
44	411	8.815	8.815	18.595	7.3	False
45	434	9.308	9.308	16.601	7.3	False
46	258	5.534	5.534	3.775	7.3	False
47	271	5.812	5.812	3.775	7.3	False
48	403	9.429	9.429	10.997	7.3	False
49	780	18.25	16.501	17.897	6.6	True
50	423	9.072	9.072	13.34	7.3	False
51	441	10.318	10.318	23.748	7.3	False
52	361	7.743	7.743	12.568	7.3	False
53	254	5.448	5.448	3.775	7.3	False
54	266	5.705	5.705	3.775	7.3	False
55	529	12.377	12.377	10.997	7.3	False
56	1019	23.842	16.501	5.004	5.05	True
57	1821	42.607	16.501	2.8	2.83	True
58	1006	23.538	16.501	11.466	5.11	True
59	980	22.93	16.501	11.77	5.25	True
60	621	14.53	14.53	16.051	7.3	False
61	2684	62.799	16.501	2.576	1.92	True
62	2685	62.822	16.501	2.575	1.92	True
63	738	15.828	15.828	11.26	7.3	False
64	330	7.078	7.078	15.399	7.3	False
65	179	3.839	3.839	3.775	7.3	False
66	698	16.331	16.331	6.972	7.3	False
67	562	13.149	13.149	6.972	7.3	False
68	337	7.228	7.228	7.528	7.3	False
69	546	12.775	12.775	9.71	7.3	False
70	487	10.445	10.445	12.954	7.3	False
71	518	12.12	12.12	7.23	7.3	False
72	403	9.429	9.429	7.23	7.3	False
73	473	11.067	11.067	16.799	7.3	False
74	464	9.952	9.952	13.233	7.3	False
75	658	14.113	6.864	24.701	3.55	True
76	355	7.614	7.614	12.611	7.3	False
77	240	5.147	5.147	2.96	7.3	False
78	252	5.405	5.405	2.96	7.3	False
79	359	7.7	7.7	13.598	7.3	False
80	120	2.574	2.574	2.96	7.3	False
81	595	13.922	13.922	6.855	7.3	False
82	353	7.571	7.571	4.139	7.3	False
83	375	8.043	8.043	2.96	7.3	False
84	288	6.738	6.738	19.046	7.3	False
85	280	6.551	6.551	10.669	7.3	False
86	415	8.901	8.901	19.989	7.3	False
87	446	10.435	10.435	13.056	7.3	False
88	855	18.338	7.521	24.701	2.99	True
89	416	8.922	8.922	22.198	7.3	False
90	332	7.121	7.121	2.96	7.3	False
91	345	7.399	7.399	2.96	7.3	False
92	495	11.582	11.582	6.855	7.3	False
93	338	7.249	7.249	6.413	7.3	False
94	318	6.82	6.82	2.96	7.3	False
95	321	6.885	6.885	2.96	7.3	False
96	325	6.971	6.971	2.96	7.3	False
97	83	1.78	1.78	2.96	7.3	False
98	73	1.566	1.566	2.96	7.3	False
99	334	7.815	7.815	5.03	7.3	False
100	145	3.11	3.11	4.139	7.3	False
101	785	18.367	16.501	7.652	6.55	True
102	202	4.332	4.332	6.499	7.3	False
103	389	8.343	6.14	24.701	5.37	True
104	278	5.962	5.962	7.592	7.3	False
105	246	5.276	5.276	5.319	7.3	False
106	513	11.003	11.003	17.566	7.3	False
107	585	12.547	8.441	24.701	4.91	True
108	383	8.214	8.214	18.745	7.3	False
109	306	6.563	6.563	2.96	7.3	False
110	73	1.566	1.566	2.96	7.3	False
111	855	18.338	8.03	24.701	3.19	True
112	429	9.201	9.201	23.292	7.3	False
113	291	6.241	6.241	2.96	7.3	False
114	304	6.52	6.52	2.96	7.3	False
115	495	11.582	11.582	6.855	7.3	False
116	322	6.906	6.906	2.96	7.3	False
117	325	6.971	6.971	2.96	7.3	False
118	328	7.035	7.035	2.96	7.3	False
119	83	1.78	1.78	2.96	7.3	False
120	73	1.566	1.566	2.96	7.3	False
121	633	13.576	13.576	13.233	7.3	False
122	433	9.287	9.287	13.276	7.3	False
